game,year,games_sold,rank
Assassin's Creed for PS3,2007,4.83,15
LEGO Star Wars: The Complete Saga for DS,2007,4.77,16
The Legend of Zelda: Phantom Hourglass for DS,2007,4.76,17
Guitar Hero III: Legends of Rock for Wii,2007,4.6,18
Guitar Hero III: Legends of Rock for X360,2007,4.53,19
Winning Eleven: Pro Evolution Soccer 2007 for PS2,2007,4.39,20
God of War II for PS2,2007,4.24,21
Super Paper Mario for Wii,2007,4.23,22
Carnival Games for Wii,2007,4.06,23
Forza Motorsport 2 for X360,2007,4.05,24
Wii Sports Resort for Wii,2009,33.13,1
New Super Mario Bros. Wii for Wii,2009,30.3,2
Wii Fit Plus for Wii,2009,21.13,3
Call of Duty: Modern Warfare 2 for X360,2009,13.53,4
Call of Duty: Modern Warfare 2 for PS3,2009,10.61,5
The Sims 3 for PC,2009,7.96,6
Pokemon Platinum Version for DS,2009,7.6,7
Uncharted 2: Among Thieves for PS3,2009,6.74,8
Halo 3: ODST for X360,2009,6.35,9
Assassin's Creed II for PS3,2009,5.57,10
Forza Motorsport 3 for X360,2009,5.5,11
Assassin's Creed II for X360,2009,5.3,12
Resident Evil 5 for PS3,2009,5.1,13
Gran Turismo for PSP,2009,4.67,14
Mario & Luigi: Bowser's Inside Story for DS,2009,4.56,15
Mario & Sonic at the Olympic Winter Games for Wii,2009,4.54,16
The Elder Scrolls IV: Oblivion for X360,2009,4.47,17
Batman: Arkham Asylum for PS3,2009,4.28,18
Street Fighter IV for PS3,2009,4.19,19
Just Dance for Wii,2009,4.0,20
Super Mario Bros. 2 for NES,1988,7.46,1
Zelda II: The Adventure of Link for NES,1988,4.38,2
Grand Theft Auto: Vice City for PS2,2002,16.15,1
Medal of Honor: Frontline for PS2,2002,6.83,2
Kingdom Hearts for PS2,2002,6.3,3
Super Mario Sunshine for GC,2002,5.91,4
Super Mario World: Super Mario Advance 2 for GBA,2002,5.69,5
The Lord of the Rings: The Two Towers for PS2,2002,4.67,6
Warcraft III: Reign of Chaos for PC,2002,4.5,7
Spider-Man: The Movie for PS2,2002,4.48,8
Madden NFL 2003 for PS2,2002,4.14,9
Counter-Strike: Global Offensive for PC,2012,40.0,1
Call of Duty: Black Ops II for X360,2012,13.86,2
Call of Duty: Black Ops II for PS3,2012,13.8,3
New Super Mario Bros. 2 for 3DS,2012,13.34,4
Diablo III for PC,2012,12.0,5
Halo 4 for X360,2012,9.96,6
Pokemon Black 2 and White 2 for DS,2012,8.52,7
FIFA 13 for PS3,2012,8.01,8
Guild Wars 2 for PC,2012,7.0,9
Just Dance 4 for Wii,2012,6.89,10
Assassin's Creed III for PS3,2012,6.5,11
New Super Mario Bros. U for WiiU,2012,5.8,12
Assassin's Creed III for X360,2012,5.31,13
Nintendo Land for WiiU,2012,5.2,14
FIFA 13 for X360,2012,5.11,15
Grand Theft Auto: San Andreas for PS2,2004,17.3,1
Counter-Strike: Source for PC,2004,15.0,2
Pokemon FireRed / LeafGreen Version for GBA,2004,12.0,3
Half-Life 2 for PC,2004,12.0,3
World of Warcraft for PC,2004,12.0,3
Super Mario 64 DS for DS,2004,11.06,6
RollerCoaster Tycoon 3 for PC,2004,10.0,7
Halo 2 for XB,2004,8.0,8
Need for Speed Underground 2 for PS2,2004,6.9,9
Madden NFL 2005 for PS2,2004,4.53,10
Metal Gear Solid 3: Snake Eater for PS2,2004,4.23,11
Mario Kart 7 for 3DS,2011,18.71,1
Pokemon Black / White Version for DS,2011,15.64,2
Call of Duty: Modern Warfare 3 for X360,2011,14.82,3
Terraria for PC,2011,14.0,4
Call of Duty: Modern Warfare 3 for PS3,2011,13.35,5
Portal 2 for PC,2011,13.06,6
Super Mario 3D Land for 3DS,2011,12.7,7
Just Dance 3 for Wii,2011,10.14,8
Uncharted 3: Drake's Deception for PS3,2011,9.3,9
The Elder Scrolls V: Skyrim for X360,2011,8.88,10
Battlefield 3 for X360,2011,7.35,11
Battlefield 3 for PS3,2011,7.21,12
The Binding of Isaac for PC,2011,7.17,13
FIFA Soccer 12 for PS3,2011,6.65,14
Red Dead Redemption for PS3,2011,6.57,15
The Elder Scrolls V: Skyrim for PS3,2011,6.49,16
The Legend of Zelda: Ocarina of Time 3D for 3DS,2011,6.02,17
Batman: Arkham City for PS3,2011,5.54,18
Batman: Arkham City for X360,2011,4.75,19
Forza Motorsport 4 for X360,2011,4.6,20
Nintendogs + cats for 3DS,2011,4.59,21
Dead Island for PC,2011,4.52,22
Assassin's Creed: Revelations for PS3,2011,4.23,23
Assassin's Creed: Revelations for X360,2011,4.22,24
FIFA Soccer 12 for X360,2011,4.18,25
The Elder Scrolls V: Skyrim for PC,2011,3.99,26
Gran Turismo 3: A-Spec for PS2,2001,14.89,1
Grand Theft Auto III for PS2,2001,13.1,2
Final Fantasy X for PS2,2001,8.6,3
Super Smash Bros. Melee for GC,2001,7.41,4
Pokemon Crystal Version for GBC,2001,6.39,5
Metal Gear Solid 2: Sons of Liberty for PS2,2001,6.05,6
Mario Kart: Super Circuit for GBA,2001,5.91,7
Super Mario Advance for GBA,2001,5.57,8
Crash Bandicoot: The Wrath of Cortex for PS2,2001,5.42,9
Halo: Combat Evolved for XB,2001,5.0,10
Tony Hawk's Pro Skater 3 for PS2,2001,4.41,11
Dragon Quest VII for PS,2001,4.3,12
Namco Museum for GBA,2001,4.24,13
The Legend of Zelda: Oracle of Ages / Seasons for GBC,2001,3.99,14
Wii Sports for Wii,2006,82.9,1
New Super Mario Bros. for DS,2006,30.8,2
Brain Age: Train Your Brain in Minutes a Day for DS,2006,19.01,3
Garry's Mod for PC,2006,16.9,4
The Legend of Zelda: Twilight Princess for Wii,2006,7.26,5
Final Fantasy XII for PS2,2006,6.4,6
Big Brain Academy for DS,2006,6.15,7
Cooking Mama for DS,2006,5.66,8
Kingdom Hearts II for PS2,2006,5.2,9
Guitar Hero II for PS2,2006,5.12,10
Grand Theft Auto: Vice City Stories for PSP,2006,5.08,11
Gears of War for X360,2006,5.0,12
Madden NFL 07 for PS2,2006,4.49,13
Resistance: Fall of Man for PS3,2006,4.37,14
Daxter for PSP,2006,4.23,15
FIFA 07 Soccer for PS2,2006,4.11,16
World Soccer Winning Eleven 9 for PS2,2006,4.06,17
The Legend of Zelda for NES,1987,6.51,1
